"Trial","Trial"
"Active","Active"
"Past Due","Past Due"
"Unpaid","Unpaid"
"Canceled","Canceled"
"Sorry, we could not complete the checkout process. Please contact us for more help.","Sorry, we could not complete the checkout process. Please contact us for more help."
"Please update your billing address to proceed","Please update your billing address to proceed"
"Buy now with Apple Pay","Buy now with Apple Pay"
"Or use a card below","Or use a card below"
"Paying by Apple Pay","Paying by Apple Pay"
"Reset","Reset"
"exp","exp"
"Use a new card","Use a new card"
"Name on Card","Name on Card"
"Card Number","Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"What is this?","What is this?"
"Save card for future purchases","Save card for future purchases"
"Saved Cards","Saved Cards"
"Actions","Actions"
"You do not have any saved cards yet.","You do not have any saved cards yet."
"Add a new saved card","Add a new saved card"
"Your card details are protected using PCI DSS v3.2 security standards.","Your card details are protected using PCI DSS v3.2 security standards."
"Sorry, your order has been cancelled because a 3D Secure session was initiated, but we did not receive a successful or failed authorization message from your bank. Please place your order again.","Sorry, your order has been cancelled because a 3D Secure session was initiated, but we did not receive a successful or failed authorization message from your bank. Please place your order again."
"Your order has been cancelled because the card 3D Secure authorization failed.","Your order has been cancelled because the card 3D Secure authorization failed."
"Your order has been cancelled. The card 3D Secure authorization succeeded, however your bank declined the payment when a charge was attempted.","Your order has been cancelled. The card 3D Secure authorization succeeded, however your bank declined the payment when a charge was attempted."
"Instant Payment Checkout","Instant Payment Checkout"
"This card cannot be used for multi-shipping orders because it requires 3D Secure authentication. Please place your order on its own for this shipping address, or use a different card.","This card cannot be used for multi-shipping orders because it requires 3D Secure authentication. Please place your order on its own for this shipping address, or use a different card."
"This card cannot be used because it requires a 3D Secure authentication by the customer.","This card cannot be used because it requires a 3D Secure authentication by the customer."
